# point number in a profile
187
#r  U_mean  k  eps
2.9187497936559487E-01 1.2266703616206687E+00 6.4403249721446659E-03 1.8834314615180287E-03
2.9823219597376843E-01 1.2311466217101874E+00 6.2927953711537851E-03 1.8209011176209698E-03
3.0472734468509843E-01 1.2356095379069312E+00 6.1461482940418097E-03 1.7601204584569681E-03
3.1136342949960283E-01 1.2400525992934326E+00 6.0001306475305598E-03 1.7018985537318940E-03
3.1814351960011139E-01 1.2444686589644074E+00 5.8546983754789086E-03 1.6451075880042809E-03
3.2507075077175995E-01 1.2488502372455450E+00 5.7100115998758878E-03 1.5889311195930948E-03
3.3214832685228790E-01 1.2531896080776170E+00 5.5662576575968223E-03 1.5350955539705799E-03
3.3937952121381015E-01 1.2574777238341972E+00 5.4235357747717382E-03 1.4829215694837990E-03
3.4676767827674815E-01 1.2617038732384518E+00 5.2823580250813962E-03 1.4335672372920590E-03
3.5431621505662181E-01 1.2658557218719861E+00 5.1432640318880623E-03 1.3857606841179012E-03
3.6202862274441544E-01 1.2699198669540341E+00 5.0064211748726125E-03 1.3398060160175640E-03
3.6990846832125013E-01 1.2738822849574709E+00 4.8717869456723559E-03 1.2966203734258738E-03
3.7795939620810959E-01 1.2777273867818022E+00 4.7395697009086218E-03 1.2550764922921725E-03
3.8618512995138066E-01 1.2814368568966574E+00 4.6103006311445510E-03 1.2154644152528437E-03
3.9458947394499028E-01 1.2849900420104803E+00 4.4846078541001394E-03 1.1773330548350289E-03
4.0317631518993419E-01 1.2883642965116424E+00 4.3632765706548213E-03 1.1421683574822708E-03
4.1194962509201088E-01 1.2915361554413567E+00 4.2472886244742849E-03 1.1096485563714513E-03
4.2091346129859297E-01 1.2944827829173211E+00 4.1374847753611662E-03 1.0801371201688192E-03
4.3007196957528543E-01 1.2971824014603068E+00 4.0350237108046907E-03 1.0542519283314883E-03
4.3942938572333790E-01 1.2996141378311696E+00 3.9416671635248875E-03 1.0305103853286463E-03
4.4899003753869843E-01 1.3017574295997998E+00 3.8592272559095087E-03 1.0097949930040434E-03
4.5875834681361588E-01 1.3035878112393371E+00 3.7890238149044008E-03 9.9145348520357740E-04
4.6873883138171368E-01 1.3050747075884999E+00 3.7322669362445239E-03 9.7746602638685057E-04
4.7893610720748392E-01 1.3061834203674307E+00 3.6902209293614599E-03 9.6761032358372604E-04
4.8935489052116621E-01 1.3068766172769839E+00 3.6640162553646608E-03 9.6268204795275534E-04
5.0000000000000000E-01 1.3071157760601866E+00 3.6549875626362954E-03 9.5824816237961830E-04
